year,variable,desc
2018,a1_relation,Adult 1 - How Related to Child
2019,a1_relation,Adult 1 - How Related to Child
2020,a1_relation,Adult 1 - How Related to Child
2021,a1_relation,Adult 1 - How Related to Child
2022,a1_relation,Adult 1 - How Related to Child
2016,a1_sex,Adult 1 - Sex
2017,a1_sex,Adult 1 - Sex
2018,a1_sex,Adult 1 - Sex
2019,a1_sex,Adult 1 - Sex
2020,a1_sex,Adult 1 - Sex
2021,a1_sex,Adult 1 - Sex
2022,a1_sex,Adult 1 - Sex
2017,a2_active,Adult 2 - Active Duty
2018,a2_active,Adult 2 - Active Duty
2019,a2_active,Adult 2 - Active Duty
2020,a2_active,Adult 2 - Active Duty
2021,a2_active,Adult 2 - Active Duty
2022,a2_active,Adult 2 - Active Duty
2016,a2_age,Adult 2 - Age in Years
2017,a2_age,Adult 2 - Age in Years
2018,a2_age,Adult 2 - Age in Years
2019,a2_age,Adult 2 - Age in Years
2020,a2_age,Adult 2 - Age in Years
2021,a2_age,Adult 2 - Age in Years
2022,a2_age,Adult 2 - Age in Years
2016,a2_born,Adult 2 - Where Born
2017,a2_born,Adult 2 - Where Born
2018,a2_born,Adult 2 - Where Born
2019,a2_born,Adult 2 - Where Born
2020,a2_born,Adult 2 - Where Born
2021,a2_born,Adult 2 - Where Born
2022,a2_born,Adult 2 - Where Born
2017,a2_deplstat,Adult 2 - Deployment Status
2018,a2_deplstat,Adult 2 - Deployment Status
2019,a2_deplstat,Adult 2 - Deployment Status
2020,a2_deplstat,Adult 2 - Deployment Status
2021,a2_deplstat,Adult 2 - Deployment Status
2022,a2_deplstat,Adult 2 - Deployment Status
2020,a2_employed,Adult 2 - Current Employment Status
2021,a2_employed,Adult 2 - Current Employment Status
2022,a2_employed,Adult 2 - Current Employment Status
2016,a2_grade,Adult 2 - Highest Completed Year of School
2017,a2_grade,Adult 2 - Highest Completed Year of School
2018,a2_grade,Adult 2 - Highest Completed Year of School
2019,a2_grade,Adult 2 - Highest Completed Year of School
2020,a2_grade,Adult 2 - Highest Completed Year of School
2021,a2_grade,Adult 2 - Highest Completed Year of School
2022,a2_grade,Adult 2 - Highest Completed Year of School
2018,a2_if,Imputation Flag for A2 Variables
2016,a2_k11q50_r,Adult 2 - Employed 50 Out Of Last 52 Weeks
2017,a2_k11q50_r,Adult 2 - Employed 50 Out Of Last 52 Weeks
2018,a2_k11q50_r,Adult 2 - Employed 50 Out Of Last 52 Weeks
2019,a2_k11q50_r,Adult 2 - Employed 50 Out Of Last 52 Weeks
2016,a2_liveusa,Adult 2 - Come to Live in the United States (Year)
2017,a2_liveusa,Adult 2 - Come to Live in the United States (Year)
2018,a2_liveusa,Adult 2 - Come to Live in the United States (Year)
2019,a2_liveusa,Adult 2 - Come to Live in the United States (Year)
2020,a2_liveusa,Adult 2 - Come to Live in the United States (Year)
2021,a2_liveusa,Adult 2 - Come to Live in the United States (Year)
2022,a2_liveusa,Adult 2 - Come to Live in the United States (Year)
2016,a2_marital,Adult 2 - Marital Status
2017,a2_marital,Adult 2 - Marital Status
2018,a2_marital,Adult 2 - Marital Status
2019,a2_marital,Adult 2 - Marital Status
2020,a2_marital,Adult 2 - Marital Status
2021,a2_marital,Adult 2 - Marital Status
2022,a2_marital,Adult 2 - Marital Status
2016,a2_menthealth,Adult 2 - Mental or Emotional Health
2017,a2_menthealth,Adult 2 - Mental or Emotional Health
2018,a2_menthealth,Adult 2 - Mental or Emotional Health
2019,a2_menthealth,Adult 2 - Mental or Emotional Health
2020,a2_menthealth,Adult 2 - Mental or Emotional Health
2021,a2_menthealth,Adult 2 - Mental or Emotional Health
2022,a2_menthealth,Adult 2 - Mental or Emotional Health
2016,a2_physhealth,Adult 2 - Physical Health
2017,a2_physhealth,Adult 2 - Physical Health
2018,a2_physhealth,Adult 2 - Physical Health
2019,a2_physhealth,Adult 2 - Physical Health
2020,a2_physhealth,Adult 2 - Physical Health
2021,a2_physhealth,Adult 2 - Physical Health
2022,a2_physhealth,Adult 2 - Physical Health
2016,a2_relation,Adult 2 - How Related to Child
2017,a2_relation,Adult 2 - How Related to Child
2018,a2_relation,Adult 2 - How Related to Child
2019,a2_relation,Adult 2 - How Related to Child
2020,a2_relation,Adult 2 - How Related to Child
2021,a2_relation,Adult 2 - How Related to Child
2022,a2_relation,Adult 2 - How Related to Child
2016,a2_sex,Adult 2 - Sex
2017,a2_sex,Adult 2 - Sex
2018,a2_sex,Adult 2 - Sex
2019,a2_sex,Adult 2 - Sex
2020,a2_sex,Adult 2 - Sex
2021,a2_sex,Adult 2 - Sex
2022,a2_sex,Adult 2 - Sex
2016,ace1,Hard to Cover Basics Like Food or Housing
2017,ace1,Hard to Cover Basics Like Food or Housing
2018,ace1,Hard to Cover Basics Like Food or Housing
2019,ace1,Hard to Cover Basics Like Food or Housing
2020,ace1,Hard to Cover Basics Like Food or Housing
2021,ace1,Hard to Cover Basics Like Food or Housing
2022,ace1,Hard to Cover Basics Like Food or Housing
2016,ace10,Child Experienced - Treated Unfairly Because of Race
2017,ace10,Child Experienced - Treated Unfairly Because of Race
2018,ace10,Child Experienced - Treated Unfairly Because of Race
2019,ace10,Child Experienced - Treated Unfairly Because of Race
2020,ace10,Child Experienced - Treated Unfairly Because of Race
2021,ace10,Child Experienced - Treated Unfairly Because of Race
2022,ace10,Child Experienced - Treated Unfairly Because of Race
2021,ace11,Child Experienced - Treated Unfairly Because of Health Condition
2022,ace11,Child Experienced - Treated Unfairly Because of Health Condition
2020,ace12,Child Experienced - Treated Unfairly Because of their Sexual Orientation or Gender Identity
2021,ace12,Child Experienced - Treated Unfairly Because of their Sexual Orientation or Gender Identity
2022,ace12,Child Experienced - Treated Unfairly Because of their Sexual Orientation or Gender Identity
2016,ace3,Child Experienced - Parent or Guardian Divorced
2017,ace3,Child Experienced - Parent or Guardian Divorced
2018,ace3,Child Experienced - Parent or Guardian Divorced
2019,ace3,Child Experienced - Parent or Guardian Divorced
2020,ace3,Child Experienced - Parent or Guardian Divorced
2021,ace3,Child Experienced - Parent or Guardian Divorced
2022,ace3,Child Experienced - Parent or Guardian Divorced
2016,ace4,Child Experienced - Parent or Guardian Died
2017,ace4,Child Experienced - Parent or Guardian Died
2018,ace4,Child Experienced - Parent or Guardian Died
2019,ace4,Child Experienced - Parent or Guardian Died
2020,ace4,Child Experienced - Parent or Guardian Died
2021,ace4,Child Experienced - Parent or Guardian Died
2022,ace4,Child Experienced - Parent or Guardian Died
2016,ace5,Child Experienced - Parent or Guardian Time in Jail
2017,ace5,Child Experienced - Parent or Guardian Time in Jail
2018,ace5,Child Experienced - Parent or Guardian Time in Jail
2019,ace5,Child Experienced - Parent or Guardian Time in Jail
2020,ace5,Child Experienced - Parent or Guardian Time in Jail
2021,ace5,Child Experienced - Parent or Guardian Time in Jail
2022,ace5,Child Experienced - Parent or Guardian Time in Jail
2016,ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
2017,ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
2018,ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
2019,ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
2020,ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
2021,ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
2022,ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
2016,ace7,Child Experienced - Victim of Violence
2017,ace7,Child Experienced - Victim of Violence
2018,ace7,Child Experienced - Victim of Violence
2019,ace7,Child Experienced - Victim of Violence
2020,ace7,Child Experienced - Victim of Violence
2021,ace7,Child Experienced - Victim of Violence
2022,ace7,Child Experienced - Victim of Violence
2016,ace8,Child Experienced - Lived with Mentally Ill
2017,ace8,Child Experienced - Lived with Mentally Ill
2018,ace8,Child Experienced - Lived with Mentally Ill
2019,ace8,Child Experienced - Lived with Mentally Ill
2020,ace8,Child Experienced - Lived with Mentally Ill
2021,ace8,Child Experienced - Lived with Mentally Ill
2022,ace8,Child Experienced - Lived with Mentally Ill
2016,ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem
2017,ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem
2018,ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem
2019,ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem
2020,ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem
2021,ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem
2022,ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem
2016,addtreat,ADD/ADHD - Behavioral Treatment
2017,addtreat,ADD/ADHD - Behavioral Treatment
2018,addtreat,ADD/ADHD - Behavioral Treatment
2019,addtreat,ADD/ADHD - Behavioral Treatment
2020,addtreat,ADD/ADHD - Behavioral Treatment
2021,addtreat,ADD/ADHD - Behavioral Treatment
2022,addtreat,ADD/ADHD - Behavioral Treatment
2016,agepos4,Birth Order of Selected Children in Household
2017,agepos4,Birth Order of Selected Children in Household
2018,agepos4,Birth Order of Selected Children in Household
2019,agepos4,Birth Order of Selected Children in Household
2020,agepos4,Birth Order of Selected Children in Household
2021,agepos4,Birth Order of Selected Children in Household
2022,agepos4,Birth Order of Selected Children in Household
2016,allergies,Allergies
2017,allergies,Allergies
2018,allergies,Allergies
2019,allergies,Allergies
2020,allergies,Allergies
2021,allergies,Allergies
2022,allergies,Allergies
2016,allergies_curr,Allergies Currently
2017,allergies_curr,Allergies Currently
2018,allergies_curr,Allergies Currently
2019,allergies_curr,Allergies Currently
2020,allergies_curr,Allergies Currently
2021,allergies_curr,Allergies Currently
2022,allergies_curr,Allergies Currently
2016,allergies_desc,Allergies Description
2017,allergies_desc,Allergies Severity Description
2018,allergies_desc,Allergies Severity Description
2019,allergies_desc,Allergies Severity Description
2020,allergies_desc,Allergies Severity Description
2021,allergies_desc,Allergies Severity Description
2022,allergies_desc,Allergies Severity Description
2016,althealth,Alternative Health Care
2017,althealth,Alternative Health Care
2018,althealth,Alternative Health Care
2019,althealth,Alternative Health Care
2020,althealth,Alternative Health Care
2021,althealth,Alternative Health Care
2022,althealth,Alternative Health Care
2016,anyother,Any Other Condition
2017,anyother,Any Other Condition
2018,anyother,Any Other Condition
2016,anyother_curr,Any Other Condition Currently
2017,anyother_curr,Any Other Condition Currently
2018,anyother_curr,Any Other Condition Currently
2016,anyother_desc,Any Other Condition Description
2017,anyother_desc,Any Other Condition Severity Description
2018,anyother_desc,Any Other Condition Severity Description
2016,appointment,Needed Health Care Not Received Due to - Getting Appointment
2017,appointment,Needed Health Care Not Received Due to - Getting Appointment
2018,appointment,Needed Health Care Not Received Due to - Getting Appointment
2019,appointment,Needed Health Care Not Received Due to - Getting Appointment
2020,appointment,Needed Health Care Not Received Due to - Getting Appointment
2021,appointment,Needed Health Care Not Received Due to - Getting Appointment
2022,appointment,Needed Health Care Not Received Due to - Getting Appointment
2016,arrangehc,Hours Spent Arranging Health Medical Care
2017,arrangehc,Hours Spent Arranging Health Medical Care
2018,arrangehc,Hours Spent Arranging Health Medical Care
2019,arrangehc,Hours Spent Arranging Health Medical Care
2020,arrangehc,Hours Spent Arranging Health Medical Care
2021,arrangehc,Hours Spent Arranging Health Medical Care
2022,arrangehc,Hours Spent Arranging Health Medical Care
2016,arthritis,Arthritis
2017,arthritis,Arthritis
2018,arthritis,Arthritis
2019,arthritis,Arthritis
2020,arthritis,Arthritis
2021,arthritis,Arthritis
2016,arthritis_curr,Arthritis Currently
2017,arthritis_curr,Arthritis Currently
2018,arthritis_curr,Arthritis Currently
2019,arthritis_curr,Arthritis Currently
2020,arthritis_curr,Arthritis Currently
2021,arthritis_curr,Arthritis Currently
2016,arthritis_desc,Arthritis Description
2017,arthritis_desc,Arthritis Severity Description
2018,arthritis_desc,Arthritis Severity Description
2019,arthritis_desc,Arthritis Severity Description
2020,arthritis_desc,Arthritis Severity Description
2021,arthritis_desc,Arthritis Severity Description
2018,askquestion,"Ask Questions: Who, What, When, Where"
2019,askquestion,"Ask Questions: Who, What, When, Where"
2020,askquestion,"Ask Questions: Who, What, When, Where"
2021,askquestion,"Ask Questions: Who, What, When, Where"
2022,askquestion,"Ask Questions: Who, What, When, Where"
2018,askquestion2,"Ask Questions:  Why, How"
2019,askquestion2,"Ask Questions:  Why, How"
2020,askquestion2,"Ask Questions:  Why, How"
2021,askquestion2,"Ask Questions:  Why, How"
2022,askquestion2,"Ask Questions:  Why, How"
2016,athomehc,Hours Spent Providing Home Health Care
2017,athomehc,Hours Spent Providing Home Health Care
2018,athomehc,Hours Spent Providing Home Health Care
2019,athomehc,Hours Spent Providing Home Health Care
2020,athomehc,Hours Spent Providing Home Health Care
2021,athomehc,Hours Spent Providing Home Health Care
2022,athomehc,Hours Spent Providing Home Health Care
2016,autismmed,Autism ASD - Medication Currently
2017,autismmed,Autism ASD - Medication Currently
2018,autismmed,Autism ASD - Medication Currently
2019,autismmed,Autism ASD - Medication Currently
2020,autismmed,Autism ASD - Medication Currently
2021,autismmed,Autism ASD - Medication Currently
2022,autismmed,Autism ASD - Medication Currently
2016,autismtreat,Autism ASD - Behavioral Treatment
2017,autismtreat,Autism ASD - Behavioral Treatment
2018,autismtreat,Autism ASD - Behavioral Treatment
2019,autismtreat,Autism ASD - Behavioral Treatment
2020,autismtreat,Autism ASD - Behavioral Treatment
2021,autismtreat,Autism ASD - Behavioral Treatment
2022,autismtreat,Autism ASD - Behavioral Treatment
2022,autoimmune,Autoimmune Disease
2022,autoimmune_desc,Autoimmune Disease Description
2016,available,Needed Health Care Not Received Due to - Not Available
2017,available,Needed Health Care Not Received Due to - Not Available
2018,available,Needed Health Care Not Received Due to - Not Available
2019,available,Needed Health Care Not Received Due to - Not Available
2020,available,Needed Health Care Not Received Due to - Not Available
2021,available,Needed Health Care Not Received Due to - Not Available
2022,available,Needed Health Care Not Received Due to - Not Available
2016,avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
2017,avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
2018,avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
2019,avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
2020,avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
2021,avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
2022,avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
2016,bedtime,How Often - Go to Bed at Same Time
2017,bedtime,How Often - Go to Bed at Same Time
2018,bedtime,How Often - Go to Bed at Same Time
2019,bedtime,How Often - Go to Bed at Same Time
2020,bedtime,How Often - Go to Bed at Same Time
2021,bedtime,How Often - Go to Bed at Same Time
2022,bedtime,How Often - Go to Bed at Same Time
2016,bestforchild,How Often - Work to Decide Together Treatment
2017,bestforchild,How Often - Work to Decide Together Treatment
2018,bestforchild,How Often - Work to Decide Together Treatment
2019,bestforchild,How Often - Work to Decide Together Treatment
2020,bestforchild,How Often - Work to Decide Together Treatment
2021,bestforchild,How Often - Work to Decide Together Treatment
2022,bestforchild,How Often - Work to Decide Together Treatment
2019,birth_mo,Birth Month
2020,birth_mo,Birth Month
2021,birth_mo,Birth Month
2022,birth_mo,Birth Month
2019,birth_yr,Birth Year
2020,birth_yr,Birth Year
2021,birth_yr,Birth Year
2022,birth_yr,Birth Year
2019,birth_yr_f,BIRTH_YR Data Quality Flag
2020,birth_yr_f,BIRTH_YR Data Quality Flag
2021,birth_yr_f,BIRTH_YR Data Quality Flag
2022,birth_yr_f,BIRTH_YR Data Quality Flag
2016,birthwt,Birth Weight Status
2017,birthwt,Birth Weight Status
2018,birthwt,Birth Weight Status
2019,birthwt,Birth Weight Status
2020,birthwt,Birth Weight Status
2021,birthwt,Birth Weight Status
2022,birthwt,Birth Weight Status
2016,birthwt_l,Birth Weight is Low (<2500g)
2017,birthwt_l,Birth Weight is Low (<2500g)
2018,birthwt_l,Birth Weight is Low (<2500g)
2019,birthwt_l,Birth Weight is Low (<2500g)
2020,birthwt_l,Birth Weight is Low (<2500g)
2021,birthwt_l,Birth Weight is Low (<2500g)
2022,birthwt_l,Birth Weight is Low (<2500g)
2016,birthwt_oz_s,"Standardized Birth Weight, Ounces"
2017,birthwt_oz_s,"Standardized Birth Weight, Ounces"
2018,birthwt_oz_s,"Standardized Birth Weight, Ounces"
2019,birthwt_oz_s,"Standardized Birth Weight, Ounces"
2020,birthwt_oz_s,"Standardized Birth Weight, Ounces"
2021,birthwt_oz_s,"Standardized Birth Weight, Ounces"
2022,birthwt_oz_s,"Standardized Birth Weight, Ounces"
2016,birthwt_vl,Birth Weight is Very Low (<1500g)
2017,birthwt_vl,Birth Weight is Very Low (<1500g)
2018,birthwt_vl,Birth Weight is Very Low (<1500g)
2019,birthwt_vl,Birth Weight is Very Low (<1500g)
2020,birthwt_vl,Birth Weight is Very Low (<1500g)
2021,birthwt_vl,Birth Weight is Very Low (<1500g)
2022,birthwt_vl,Birth Weight is Very Low (<1500g)
2016,blindness,Blindness
2017,blindness,Blindness
2018,blindness,Blindness
2019,blindness,Blindness
2020,blindness,Blindness
2021,blindness,Blindness
2022,blindness,Blindness
2016,blood,Blood Disorder
2017,blood,Blood Disorder
2018,blood,Blood Disorder
2019,blood,Blood Disorder
2020,blood,Blood Disorder
2021,blood,Blood Disorder
2022,blood,Blood Disorder
2016,blood_curr,Blood Disorder Currently
2017,blood_curr,Blood Disorder Currently
2016,blood_desc,Blood Disorder Description
2017,blood_desc,Blood Disorder Severity Description
2018,blood_desc,Blood Disorder Severity Description
2019,blood_desc,Blood Disorder Severity Description
2020,blood_desc,Blood Disorder Severity Description
2021,blood_desc,Blood Disorder Severity Description
2022,blood_desc,Blood Disorder Severity Description
2020,blood_other,Blood Disorder Other (includes Hemophilia)
2021,blood_other,Blood Disorder Other (includes Hemophilia)
2022,blood_other,Blood Disorder Other (includes Hemophilia)
2018,blood_screen,Blood Disorder Newborn Screening
2019,blood_screen,Blood Disorder Newborn Screening
2020,blood_screen,Blood Disorder Newborn Screening
2021,blood_screen,Blood Disorder Newborn Screening
2022,blood_screen,Blood Disorder Newborn Screening
2016,bmiclass,"Body Mass Index, Percentile"
2017,bmiclass,"Body Mass Index, Percentile"
2018,bmiclass,"Body Mass Index, Percentile"
2019,bmiclass,"Body Mass Index, Percentile"
2020,bmiclass,"Body Mass Index, Percentile"
2021,bmiclass,"Body Mass Index, Percentile"
2022,bmiclass,"Body Mass Index, Percentile"
2022,bodyimage,Child's concern over body image 
2016,bornusa,Born in the United States
2017,bornusa,Born in the United States
2018,bornusa,Born in the United States
2019,bornusa,Born in the United States
2020,bornusa,Born in the United States
2021,bornusa,Born in the United States
2022,bornusa,Born in the United States
2022,bounceaball,Bounce Ball
2016,breastfedend_day_s,Stopped Breastfeeding - Days (Standardized)
2017,breastfedend_day_s,Stopped Breastfeeding - Days (Standardized)
2018,breastfedend_day_s,Stopped Breastfeeding - Days (Standardized)
2019,breastfedend_day_s,Stopped Breastfeeding - Days (Standardized)
2020,breastfedend_day_s,Stopped Breastfeeding - Days (Standardized)
2021,breastfedend_day_s,Stopped Breastfeeding - Days (Standardized)
2022,breastfedend_day_s,Stopped Breastfeeding - Days (Standardized)
2016,breastfedend_mo_s,Stopped Breastfeeding - Months (Standardized)
2017,breastfedend_mo_s,Stopped Breastfeeding - Months (Standardized)
2018,breastfedend_mo_s,Stopped Breastfeeding - Months (Standardized)
2019,breastfedend_mo_s,Stopped Breastfeeding - Months (Standardized)
2020,breastfedend_mo_s,Stopped Breastfeeding - Months (Standardized)
2021,breastfedend_mo_s,Stopped Breastfeeding - Months (Standardized)
2022,breastfedend_mo_s,Stopped Breastfeeding - Months (Standardized)
2016,breastfedend_wk_s,Stopped Breastfeeding - Weeks (Standardized)
2017,breastfedend_wk_s,Stopped Breastfeeding - Weeks (Standardized)
2018,breastfedend_wk_s,Stopped Breastfeeding - Weeks (Standardized)
2019,breastfedend_wk_s,Stopped Breastfeeding - Weeks (Standardized)
2020,breastfedend_wk_s,Stopped Breastfeeding - Weeks (Standardized)
2021,breastfedend_wk_s,Stopped Breastfeeding - Weeks (Standardized)
2022,breastfedend_wk_s,Stopped Breastfeeding - Weeks (Standardized)
2016,breathing,Difficulty Breathing
2017,breathing,Difficulty Breathing Past 12 Months
2018,breathing,Difficulty Breathing Past 12 Months
2019,breathing,Difficulty Breathing Past 12 Months
2020,breathing,Difficulty Breathing Past 12 Months
2021,breathing,Difficulty Breathing Past 12 Months
2022,breathing,Difficulty Breathing Past 12 Months
2016,bullied,"Bullied, Picked On, or Excluded by Others"
2017,bullied,"Bullied, Picked On, or Excluded by Others"
2018,bullied_r,"Bullied, Picked On, or Excluded by Others"
2019,bullied_r,"Bullied, Picked On, or Excluded by Others"
2020,bullied_r,"Bullied, Picked On, or Excluded by Others"
2021,bullied_r,"Bullied, Picked On, or Excluded by Others"
2022,bullied_r,"Bullied, Picked On, or Excluded by Others"
2018,bully,"Bullies Others, Picks on Them, or Excludes Them"
2019,bully,"Bullies Others, Picks on Them, or Excludes Them"
2020,bully,"Bullies Others, Picks on Them, or Excludes Them"
2021,bully,"Bullies Others, Picks on Them, or Excludes Them"
2022,bully,"Bullies Others, Picks on Them, or Excludes Them"
2016,c4q04,Frustrated In Efforts to Get Service
2017,c4q04,Frustrated In Efforts to Get Service
2018,c4q04,Frustrated In Efforts to Get Service
2019,c4q04,Frustrated In Efforts to Get Service
2020,c4q04,Frustrated In Efforts to Get Service
2021,c4q04,Frustrated In Efforts to Get Service
2022,c4q04,Frustrated In Efforts to Get Service
2016,calmdown,How Often - Can Calm Down
2017,calmdown,How Often - Can Calm Down
2018,calmdown,How Often - Can Calm Down
2019,calmdown,How Often - Can Calm Down
2020,calmdown,How Often - Can Calm Down
2021,calmdown,How Often - Can Calm Down
2022,calmdown_r,How Often - Calms Down When Excited
2016,cavities,Difficulty Cavities
2017,cavities,Difficulty Cavities Past 12 Months
2018,cavities,Difficulty Cavities Past 12 Months
2019,cavities,Difficulty Cavities Past 12 Months
2020,cavities,Difficulty Cavities Past 12 Months
2021,cavities,Difficulty Cavities Past 12 Months
2022,cavities,Difficulty Cavities Past 12 Months
2016,cbsafp_yn,Core Based Statistical Area Status
2017,cbsafp_yn,Core Based Statistical Area Status
2018,cbsafp_yn,Core Based Statistical Area Status
2019,cbsafp_yn,Core Based Statistical Area Status
2020,cbsafp_yn,Core Based Statistical Area Status
2021,cbsafp_yn,Core Based Statistical Area Status
2022,cbsafp_yn,Core Based Statistical Area Status
2016,cerpals_desc,Cerebral Palsy Description
2017,cerpals_desc,Cerebral Palsy Severity Description
2018,cerpals_desc,Cerebral Palsy Severity Description
2019,cerpals_desc,Cerebral Palsy Severity Description
2020,cerpals_desc,Cerebral Palsy Severity Description
2021,cerpals_desc,Cerebral Palsy Severity Description
2022,cerpals_desc,Cerebral Palsy Severity Description
2016,changeage,Doctor Worked with Child to Understand Health Care Changes
2017,changeage,Doctor Worked with Child to Understand Health Care Changes
2018,changeage,Doctor Worked with Child to Understand Health Care Changes
2019,changeage,Doctor Worked with Child to Understand Health Care Changes
2020,changeage,Doctor Worked with Child to Understand Health Care Changes
2021,changeage,Doctor Worked with Child to Understand Health Care Changes
2022,changeage,Doctor Worked with Child to Understand Health Care Changes
2016,clearexp,How Often - Explain Things Good Idea
2017,clearexp,How Often - Explain Things Good Idea
2018,clearexp,How Often - Explain Things Good Idea
2019,clearexp,How Often - Explain Things Good Idea
2020,clearexp,How Often - Explain Things Good Idea
2021,clearexp,How Often - Explain Things Good Idea
2022,clearexp,How Often - Explain Things Good Idea
2017,color,Can Name Colors
2018,color,Can Name Colors
2019,color,Can Name Colors
2020,color,Can Name Colors
2021,color,Can Name Colors
2020,concussion,Concussion/Brain Injury
