year,variable,value,desc
2020,house_gen,2,"2nd generation household [Child is born in the United States and at least one parent is born outside the United States OR child is born outside the United States, one parent is born in the United States and one parent is born outside the United States.]"
2021,house_gen,2,"2nd generation household [Child is born in the United States and at least one parent is born outside the United States OR child is born outside the United States, one parent is born in the United States and one parent is born outside the United States.]"
2022,house_gen,2,"2nd generation household [Child is born in the United States and at least one parent is born outside the United States OR child is born outside the United States, one parent is born in the United States and one parent is born outside the United States.]"
2016,house_gen,3,3rd+ generation
2017,house_gen,3,3rd+ generation [All parents in the household are born in the United States]
2018,house_gen,3,3rd+ generation [All parents in the household are born in the United States]
2019,house_gen,3,3rd+ generation [All parents in the household are born in the United States]
2020,house_gen,3,3rd+ generation [All parents in the household are born in the United States]
2021,house_gen,3,3rd+ generation [All parents in the household are born in the United States]
2022,house_gen,3,3rd+ generation [All parents in the household are born in the United States]
2016,house_gen,4,"Other (child born in United States, parents are not listed)"
2017,house_gen,4,"Other [Child is born in the United States, parents are not listed.]"
2018,house_gen,4,"Other [Child is born in the United States, parents are not listed.]"
2019,house_gen,4,"Other [Child is born in the United States, parents are not listed.]"
2020,house_gen,4,"Other [Child is born in the United States, parents are not listed.]"
2021,house_gen,4,"Other [Child is born in the United States, parents are not listed.]"
2022,house_gen,4,"Other [Child is born in the United States, parents are not listed.]"
2016,howmuch,.d,Suppressed for confidentiality
2017,howmuch,.d,Suppressed for confidentiality
2018,howmuch,.d,Suppressed for confidentiality
2019,howmuch,.d,Suppressed for confidentiality
2020,howmuch,.d,Suppressed for confidentiality
2021,howmuch,.d,Suppressed for confidentiality
2022,howmuch,.d,Suppressed for confidentiality
2016,howmuch,.l,Logical skip
2017,howmuch,.l,Logical skip
2018,howmuch,.l,Logical skip
2019,howmuch,.l,Logical skip
2020,howmuch,.l,Logical skip
2021,howmuch,.l,Logical skip
2022,howmuch,.l,Logical skip
2016,howmuch,.m,No valid response
2017,howmuch,.m,No valid response
2018,howmuch,.m,No valid response
2019,howmuch,.m,No valid response
2020,howmuch,.m,No valid response
2021,howmuch,.m,No valid response
2022,howmuch,.m,No valid response
2016,howmuch,.n,Not in universe
2017,howmuch,.n,Not in universe
2018,howmuch,.n,Not in universe
2019,howmuch,.n,Not in universe
2020,howmuch,.n,Not in universe
2021,howmuch,.n,Not in universe
2022,howmuch,.n,Not in universe
2016,howmuch,1,$0 (No medical or health-related expenses)
2017,howmuch,1,$0 (No medical or health-related expenses)
2018,howmuch,1,$0 (No medical or health-related expenses)
2019,howmuch,1,$0 (No medical or health-related expenses)
2020,howmuch,1,$0 (No medical or health-related expenses)
2021,howmuch,1,$0 (No medical or health-related expenses)
2022,howmuch,1,$0 (No medical or health-related expenses)
2016,howmuch,2,$1-$249
2017,howmuch,2,$1-$249
2018,howmuch,2,$1-$249
2019,howmuch,2,$1-$249
2020,howmuch,2,$1-$249
2021,howmuch,2,$1-$249
2022,howmuch,2,$1-$249
2016,howmuch,3,$250-$499
2017,howmuch,3,$250-$499
2018,howmuch,3,$250-$499
2019,howmuch,3,$250-$499
2020,howmuch,3,$250-$499
2021,howmuch,3,$250-$499
2022,howmuch,3,$250-$499
2016,howmuch,4,$500-$999
2017,howmuch,4,$500-$999
2018,howmuch,4,$500-$999
2019,howmuch,4,$500-$999
2020,howmuch,4,$500-$999
2021,howmuch,4,$500-$999
2022,howmuch,4,$500-$999
2016,howmuch,5,"$1,000-$5,000"
2017,howmuch,5,"$1,000-$5,000"
2018,howmuch,5,"$1,000-$5,000"
2019,howmuch,5,"$1,000-$5,000"
2020,howmuch,5,"$1,000-$5,000"
2021,howmuch,5,"$1,000-$5,000"
2022,howmuch,5,"$1,000-$5,000"
2016,howmuch,6,"More than $5,000"
2017,howmuch,6,"More than $5,000"
2018,howmuch,6,"More than $5,000"
2019,howmuch,6,"More than $5,000"
2020,howmuch,6,"More than $5,000"
2021,howmuch,6,"More than $5,000"
2022,howmuch,6,"More than $5,000"
2016,hurtsad,.d,Suppressed for confidentiality
2017,hurtsad,.d,Suppressed for confidentiality
2018,hurtsad,.d,Suppressed for confidentiality
2019,hurtsad,.d,Suppressed for confidentiality
2020,hurtsad,.d,Suppressed for confidentiality
2021,hurtsad,.d,Suppressed for confidentiality
2022,hurtsad,.d,Suppressed for confidentiality
2016,hurtsad,.l,Logical skip
2017,hurtsad,.l,Logical skip
2018,hurtsad,.l,Logical skip
2019,hurtsad,.l,Logical skip
2020,hurtsad,.l,Logical skip
2021,hurtsad,.l,Logical skip
2022,hurtsad,.l,Logical skip
2016,hurtsad,.m,No valid response
2017,hurtsad,.m,No valid response
2018,hurtsad,.m,No valid response
2019,hurtsad,.m,No valid response
2020,hurtsad,.m,No valid response
2021,hurtsad,.m,No valid response
2022,hurtsad,.m,No valid response
2016,hurtsad,.n,Not in universe
2017,hurtsad,.n,Not in universe
2018,hurtsad,.n,Not in universe
2019,hurtsad,.n,Not in universe
2020,hurtsad,.n,Not in universe
2021,hurtsad,.n,Not in universe
2022,hurtsad,.n,Not in universe
2016,hurtsad,1,All of the time
2017,hurtsad,1,Always
2018,hurtsad,1,Always
2019,hurtsad,1,Always
2020,hurtsad,1,Always
2021,hurtsad,1,Always
2022,hurtsad,1,Always
2016,hurtsad,2,Most of the time
2017,hurtsad,2,Most of the time
2018,hurtsad,2,Most of the time
2019,hurtsad,2,Most of the time
2020,hurtsad,2,Most of the time
2021,hurtsad,2,Most of the time
2022,hurtsad,2,Most of the time
2016,hurtsad,3,Some of the time
2017,hurtsad,3,About half the time
2018,hurtsad,3,About half the time
2019,hurtsad,3,About half the time
2020,hurtsad,3,About half the time
2021,hurtsad,3,About half the time
2022,hurtsad,3,About half the time
2016,hurtsad,4,None of the time
2017,hurtsad,4,Sometimes
2018,hurtsad,4,Sometimes
2019,hurtsad,4,Sometimes
2020,hurtsad,4,Sometimes
2021,hurtsad,4,Sometimes
2022,hurtsad,4,Sometimes
2017,hurtsad,5,Never
2018,hurtsad,5,Never
2019,hurtsad,5,Never
2020,hurtsad,5,Never
2021,hurtsad,5,Never
2022,hurtsad,5,Never
2022,inq_edu,.d,Suppressed for confidentiality
2022,inq_edu,.l,Logical skip
2022,inq_edu,.m,No valid response
2022,inq_edu,.n,Not in universe
2022,inq_edu,1,High
2022,inq_edu,2,Low
2022,inq_employ,.d,Suppressed for confidentiality
2022,inq_employ,.l,Logical skip
2022,inq_employ,.m,No valid response
2022,inq_employ,.n,Not in universe
2022,inq_employ,1,High
2022,inq_employ,2,Low
2022,inq_home,.d,Suppressed for confidentiality
2022,inq_home,.l,Logical skip
2022,inq_home,.m,No valid response
2022,inq_home,.n,Not in universe
2022,inq_home,1,High
2022,inq_home,2,Low
2022,inq_income,.d,Suppressed for confidentiality
2022,inq_income,.l,Logical skip
2022,inq_income,.m,No valid response
2022,inq_income,.n,Not in universe
2022,inq_income,1,High
2022,inq_income,2,Low
2022,inq_resseg,.d,Suppressed for confidentiality
2022,inq_resseg,.l,Logical skip
2022,inq_resseg,.m,No valid response
2022,inq_resseg,.n,Not in universe
2022,inq_resseg,1,High
2022,inq_resseg,2,Low
2016,insgap,.d,Suppressed for confidentiality
2017,insgap,.d,Suppressed for confidentiality
2018,insgap,.d,Suppressed for confidentiality
2019,insgap,.d,Suppressed for confidentiality
2020,insgap,.d,Suppressed for confidentiality
2021,insgap,.d,Suppressed for confidentiality
2022,insgap,.d,Suppressed for confidentiality
2016,insgap,.l,Logical skip
2017,insgap,.l,Logical skip
2018,insgap,.l,Logical skip
2019,insgap,.l,Logical skip
2020,insgap,.l,Logical skip
2021,insgap,.l,Logical skip
2022,insgap,.l,Logical skip
2016,insgap,.m,No valid response
2017,insgap,.m,No valid response
2018,insgap,.m,No valid response
2019,insgap,.m,No valid response
2020,insgap,.m,No valid response
2021,insgap,.m,No valid response
2022,insgap,.m,No valid response
2016,insgap,.n,Not in universe
2017,insgap,.n,Not in universe
2018,insgap,.n,Not in universe
2019,insgap,.n,Not in universe
2020,insgap,.n,Not in universe
2021,insgap,.n,Not in universe
2022,insgap,.n,Not in universe
2016,insgap,1,Insured all 12 months
2017,insgap,1,Insured all 12 months
2018,insgap,1,Insured all 12 months
2019,insgap,1,Insured all 12 months
2020,insgap,1,Insured all 12 months
2021,insgap,1,Insured all 12 months
2022,insgap,1,Insured all 12 months
2016,insgap,2,Insured during the past 12 months but with gaps in coverage
2017,insgap,2,Insured during the past 12 months but with gaps in coverage
2018,insgap,2,Insured during the past 12 months but with gaps in coverage
2019,insgap,2,Insured during the past 12 months but with gaps in coverage
2020,insgap,2,Insured during the past 12 months but with gaps in coverage
2021,insgap,2,Insured during the past 12 months but with gaps in coverage
2022,insgap,2,Insured during the past 12 months but with gaps in coverage
2016,insgap,3,No coverage past 12 months
2017,insgap,3,No coverage past 12 months
2018,insgap,3,No coverage past 12 months
2019,insgap,3,No coverage past 12 months
2020,insgap,3,No coverage past 12 months
2021,insgap,3,No coverage past 12 months
2022,insgap,3,No coverage past 12 months
2016,instype,.d,Suppressed for confidentiality
2017,instype,.d,Suppressed for confidentiality
2018,instype,.d,Suppressed for confidentiality
2019,instype,.d,Suppressed for confidentiality
2020,instype,.d,Suppressed for confidentiality
2021,instype,.d,Suppressed for confidentiality
2022,instype,.d,Suppressed for confidentiality
2016,instype,.l,Logical skip
2017,instype,.l,Logical skip
2018,instype,.l,Logical skip
2019,instype,.l,Logical skip
2020,instype,.l,Logical skip
2021,instype,.l,Logical skip
2022,instype,.l,Logical skip
2016,instype,.m,No valid response
2017,instype,.m,No valid response
2018,instype,.m,No valid response
2019,instype,.m,No valid response
2020,instype,.m,No valid response
2021,instype,.m,No valid response
2022,instype,.m,No valid response
2016,instype,.n,Not in universe
2017,instype,.n,Not in universe
2018,instype,.n,Not in universe
2019,instype,.n,Not in universe
2020,instype,.n,Not in universe
2021,instype,.n,Not in universe
2022,instype,.n,Not in universe
2016,instype,1,Public Only
2017,instype,1,Public only [government assistance]
2018,instype,1,Public only [government assistance]
2019,instype,1,Public only (government assistance)
2020,instype,1,Public only (government assistance)
2021,instype,1,Public only (government assistance)
2022,instype,1,Public only (government assistance)
2016,instype,2,Private Only
2017,instype,2,"Private only [privately purchased, including through ACA marketplace, through employer, or TRICARE]"
2018,instype,2,"Private only [privately purchased, including through ACA marketplace, through employer, or TRICARE]"
2019,instype,2,"Private only (privately purchased, including through ACA marketplace, through employer, or TRICARE)"
2020,instype,2,"Private only (privately purchased, including through ACA marketplace, through employer, or TRICARE)"
2021,instype,2,"Private only (privately purchased, including through ACA marketplace, through employer, or TRICARE)"
2022,instype,2,"Private only (privately purchased, including through ACA marketplace, through employer, or TRICARE)"
2016,instype,3,Private and public
2017,instype,3,Private and public
2018,instype,3,Private and public
2019,instype,3,Private and public
2020,instype,3,Private and public
2021,instype,3,Private and public
2022,instype,3,Private and public
2016,instype,4,Insurance type unspecified
2016,instype,5,Not insured
2017,instype,5,Not insured
2018,instype,5,Not insured
2019,instype,5,Not insured
2020,instype,5,Not insured
2021,instype,5,Not insured
2022,instype,5,Not insured
2016,issuecost,.d,Suppressed for confidentiality
2017,issuecost,.d,Suppressed for confidentiality
2018,issuecost,.d,Suppressed for confidentiality
2019,issuecost,.d,Suppressed for confidentiality
2020,issuecost,.d,Suppressed for confidentiality
2021,issuecost,.d,Suppressed for confidentiality
2022,issuecost,.d,Suppressed for confidentiality
2016,issuecost,.l,Logical skip
2017,issuecost,.l,Logical skip
2018,issuecost,.l,Logical skip
2019,issuecost,.l,Logical skip
2020,issuecost,.l,Logical skip
2021,issuecost,.l,Logical skip
2022,issuecost,.l,Logical skip
2016,issuecost,.m,No valid response
2017,issuecost,.m,No valid response
2018,issuecost,.m,No valid response
2019,issuecost,.m,No valid response
2020,issuecost,.m,No valid response
2021,issuecost,.m,No valid response
2022,issuecost,.m,No valid response
2016,issuecost,.n,Not in universe
2017,issuecost,.n,Not in universe
2018,issuecost,.n,Not in universe
2019,issuecost,.n,Not in universe
2020,issuecost,.n,Not in universe
2021,issuecost,.n,Not in universe
2022,issuecost,.n,Not in universe
2016,issuecost,1,Yes
2017,issuecost,1,Yes
2018,issuecost,1,Yes
2019,issuecost,1,Yes
2020,issuecost,1,Yes
2021,issuecost,1,Yes
2022,issuecost,1,Yes
2016,issuecost,2,No
2017,issuecost,2,No
2018,issuecost,2,No
2019,issuecost,2,No
2020,issuecost,2,No
2021,issuecost,2,No
2022,issuecost,2,No
2016,k10q11,.d,Suppressed for confidentiality
2017,k10q11,.d,Suppressed for confidentiality
2018,k10q11,.d,Suppressed for confidentiality
2019,k10q11,.d,Suppressed for confidentiality
2020,k10q11,.d,Suppressed for confidentiality
2021,k10q11,.d,Suppressed for confidentiality
2022,k10q11,.d,Suppressed for confidentiality
2016,k10q11,.l,Logical skip
2017,k10q11,.l,Logical skip
2018,k10q11,.l,Logical skip
2019,k10q11,.l,Logical skip
2020,k10q11,.l,Logical skip
2021,k10q11,.l,Logical skip
2022,k10q11,.l,Logical skip
2016,k10q11,.m,No valid response
2017,k10q11,.m,No valid response
2018,k10q11,.m,No valid response
2019,k10q11,.m,No valid response
2020,k10q11,.m,No valid response
2021,k10q11,.m,No valid response
2022,k10q11,.m,No valid response
2016,k10q11,.n,Not in universe
2017,k10q11,.n,Not in universe
2018,k10q11,.n,Not in universe
2019,k10q11,.n,Not in universe
2020,k10q11,.n,Not in universe
2021,k10q11,.n,Not in universe
2022,k10q11,.n,Not in universe
2016,k10q11,1,Yes
2017,k10q11,1,Yes
2018,k10q11,1,Yes
2019,k10q11,1,Yes
2020,k10q11,1,Yes
2021,k10q11,1,Yes
2022,k10q11,1,Yes
2016,k10q11,2,No
2017,k10q11,2,No
2018,k10q11,2,No
2019,k10q11,2,No
2020,k10q11,2,No
2021,k10q11,2,No
2022,k10q11,2,No
2016,k10q12,.d,Suppressed for confidentiality
2017,k10q12,.d,Suppressed for confidentiality
2018,k10q12,.d,Suppressed for confidentiality
2019,k10q12,.d,Suppressed for confidentiality
2020,k10q12,.d,Suppressed for confidentiality
2021,k10q12,.d,Suppressed for confidentiality
2022,k10q12,.d,Suppressed for confidentiality
2016,k10q12,.l,Logical skip
2017,k10q12,.l,Logical skip
2018,k10q12,.l,Logical skip
2019,k10q12,.l,Logical skip
2020,k10q12,.l,Logical skip
2021,k10q12,.l,Logical skip
2022,k10q12,.l,Logical skip
2016,k10q12,.m,No valid response
2017,k10q12,.m,No valid response
2018,k10q12,.m,No valid response
2019,k10q12,.m,No valid response
2020,k10q12,.m,No valid response
2021,k10q12,.m,No valid response
2022,k10q12,.m,No valid response
2016,k10q12,.n,Not in universe
2017,k10q12,.n,Not in universe
2018,k10q12,.n,Not in universe
2019,k10q12,.n,Not in universe
2020,k10q12,.n,Not in universe
2021,k10q12,.n,Not in universe
2022,k10q12,.n,Not in universe
2016,k10q12,1,Yes
2017,k10q12,1,Yes
2018,k10q12,1,Yes
2019,k10q12,1,Yes
2020,k10q12,1,Yes
2021,k10q12,1,Yes
2022,k10q12,1,Yes
2016,k10q12,2,No
2017,k10q12,2,No
2018,k10q12,2,No
2019,k10q12,2,No
2020,k10q12,2,No
2021,k10q12,2,No
2022,k10q12,2,No
2016,k10q13,.d,Suppressed for confidentiality
2017,k10q13,.d,Suppressed for confidentiality
2018,k10q13,.d,Suppressed for confidentiality
2019,k10q13,.d,Suppressed for confidentiality
2020,k10q13,.d,Suppressed for confidentiality
2021,k10q13,.d,Suppressed for confidentiality
2022,k10q13,.d,Suppressed for confidentiality
2016,k10q13,.l,Logical skip
2017,k10q13,.l,Logical skip
2018,k10q13,.l,Logical skip
2019,k10q13,.l,Logical skip
2020,k10q13,.l,Logical skip
2021,k10q13,.l,Logical skip
2022,k10q13,.l,Logical skip
2016,k10q13,.m,No valid response
2017,k10q13,.m,No valid response
2018,k10q13,.m,No valid response
2019,k10q13,.m,No valid response
2020,k10q13,.m,No valid response
2021,k10q13,.m,No valid response
2022,k10q13,.m,No valid response
2016,k10q13,.n,Not in universe
2017,k10q13,.n,Not in universe
2018,k10q13,.n,Not in universe
2019,k10q13,.n,Not in universe
2020,k10q13,.n,Not in universe
2021,k10q13,.n,Not in universe
2022,k10q13,.n,Not in universe
2016,k10q13,1,Yes
2017,k10q13,1,Yes
2018,k10q13,1,Yes
2019,k10q13,1,Yes
2020,k10q13,1,Yes
2021,k10q13,1,Yes
2022,k10q13,1,Yes
2016,k10q13,2,No
2017,k10q13,2,No
2018,k10q13,2,No
2019,k10q13,2,No
2020,k10q13,2,No
2021,k10q13,2,No
2022,k10q13,2,No
2016,k10q14,.d,Suppressed for confidentiality
2017,k10q14,.d,Suppressed for confidentiality
2018,k10q14,.d,Suppressed for confidentiality
2019,k10q14,.d,Suppressed for confidentiality
2020,k10q14,.d,Suppressed for confidentiality
2021,k10q14,.d,Suppressed for confidentiality
2022,k10q14,.d,Suppressed for confidentiality
2016,k10q14,.l,Logical skip
2017,k10q14,.l,Logical skip
2018,k10q14,.l,Logical skip
2019,k10q14,.l,Logical skip
2020,k10q14,.l,Logical skip
2021,k10q14,.l,Logical skip
2022,k10q14,.l,Logical skip
2016,k10q14,.m,No valid response
2017,k10q14,.m,No valid response
2018,k10q14,.m,No valid response
2019,k10q14,.m,No valid response
2020,k10q14,.m,No valid response
2021,k10q14,.m,No valid response
2022,k10q14,.m,No valid response
2016,k10q14,.n,Not in universe
2017,k10q14,.n,Not in universe
2018,k10q14,.n,Not in universe
2019,k10q14,.n,Not in universe
2020,k10q14,.n,Not in universe
2021,k10q14,.n,Not in universe
2022,k10q14,.n,Not in universe
2016,k10q14,1,Yes
2017,k10q14,1,Yes
2018,k10q14,1,Yes
2019,k10q14,1,Yes
2020,k10q14,1,Yes
2021,k10q14,1,Yes
2022,k10q14,1,Yes
2016,k10q14,2,No
2017,k10q14,2,No
2018,k10q14,2,No
2019,k10q14,2,No
2020,k10q14,2,No
2021,k10q14,2,No
2022,k10q14,2,No
2016,k10q20,.d,Suppressed for confidentiality
2017,k10q20,.d,Suppressed for confidentiality
2018,k10q20,.d,Suppressed for confidentiality
2019,k10q20,.d,Suppressed for confidentiality
2020,k10q20,.d,Suppressed for confidentiality
2021,k10q20,.d,Suppressed for confidentiality
2022,k10q20,.d,Suppressed for confidentiality
2016,k10q20,.l,Logical skip
2017,k10q20,.l,Logical skip
2018,k10q20,.l,Logical skip
2019,k10q20,.l,Logical skip
2020,k10q20,.l,Logical skip
2021,k10q20,.l,Logical skip
2022,k10q20,.l,Logical skip
2016,k10q20,.m,No valid response
2017,k10q20,.m,No valid response
2018,k10q20,.m,No valid response
2019,k10q20,.m,No valid response
2020,k10q20,.m,No valid response
2021,k10q20,.m,No valid response
2022,k10q20,.m,No valid response
2016,k10q20,.n,Not in universe
2017,k10q20,.n,Not in universe
2018,k10q20,.n,Not in universe
2019,k10q20,.n,Not in universe
2020,k10q20,.n,Not in universe
2021,k10q20,.n,Not in universe
2022,k10q20,.n,Not in universe
2016,k10q20,1,Yes
2017,k10q20,1,Yes
2018,k10q20,1,Yes
2019,k10q20,1,Yes
2020,k10q20,1,Yes
2021,k10q20,1,Yes
2022,k10q20,1,Yes
2016,k10q20,2,No
2017,k10q20,2,No
2018,k10q20,2,No
2019,k10q20,2,No
2020,k10q20,2,No
2021,k10q20,2,No
2022,k10q20,2,No
2016,k10q22,.d,Suppressed for confidentiality
2017,k10q22,.d,Suppressed for confidentiality
2018,k10q22,.d,Suppressed for confidentiality
2019,k10q22,.d,Suppressed for confidentiality
2020,k10q22,.d,Suppressed for confidentiality
2021,k10q22,.d,Suppressed for confidentiality
2022,k10q22,.d,Suppressed for confidentiality
2016,k10q22,.l,Logical skip
2017,k10q22,.l,Logical skip
2018,k10q22,.l,Logical skip
2019,k10q22,.l,Logical skip
2020,k10q22,.l,Logical skip
2021,k10q22,.l,Logical skip
2022,k10q22,.l,Logical skip
2016,k10q22,.m,No valid response
2017,k10q22,.m,No valid response
2018,k10q22,.m,No valid response
2019,k10q22,.m,No valid response
2020,k10q22,.m,No valid response
2021,k10q22,.m,No valid response
2022,k10q22,.m,No valid response
2016,k10q22,.n,Not in universe
2017,k10q22,.n,Not in universe
2018,k10q22,.n,Not in universe
2019,k10q22,.n,Not in universe
2020,k10q22,.n,Not in universe
2021,k10q22,.n,Not in universe
2022,k10q22,.n,Not in universe
2016,k10q22,1,Yes
2017,k10q22,1,Yes
2018,k10q22,1,Yes
2019,k10q22,1,Yes
2020,k10q22,1,Yes
2021,k10q22,1,Yes
2022,k10q22,1,Yes
2016,k10q22,2,No
2017,k10q22,2,No
2018,k10q22,2,No
2019,k10q22,2,No
2020,k10q22,2,No
2021,k10q22,2,No
2022,k10q22,2,No
2016,k10q23,.d,Suppressed for confidentiality
2017,k10q23,.d,Suppressed for confidentiality
2018,k10q23,.d,Suppressed for confidentiality
2019,k10q23,.d,Suppressed for confidentiality
2020,k10q23,.d,Suppressed for confidentiality
2021,k10q23,.d,Suppressed for confidentiality
2022,k10q23,.d,Suppressed for confidentiality
2016,k10q23,.l,Logical skip
2017,k10q23,.l,Logical skip
2018,k10q23,.l,Logical skip
2019,k10q23,.l,Logical skip
2020,k10q23,.l,Logical skip
2021,k10q23,.l,Logical skip
2022,k10q23,.l,Logical skip
2016,k10q23,.m,No valid response
2017,k10q23,.m,No valid response
2018,k10q23,.m,No valid response
2019,k10q23,.m,No valid response
2020,k10q23,.m,No valid response
2021,k10q23,.m,No valid response
2022,k10q23,.m,No valid response
2016,k10q23,.n,Not in universe
2017,k10q23,.n,Not in universe
2018,k10q23,.n,Not in universe
2019,k10q23,.n,Not in universe
2020,k10q23,.n,Not in universe
2021,k10q23,.n,Not in universe
2022,k10q23,.n,Not in universe
2016,k10q23,1,Yes
2017,k10q23,1,Yes
2018,k10q23,1,Yes
2019,k10q23,1,Yes
2020,k10q23,1,Yes
2021,k10q23,1,Yes
2022,k10q23,1,Yes
2016,k10q23,2,No
2017,k10q23,2,No
2018,k10q23,2,No
2019,k10q23,2,No
2020,k10q23,2,No
2021,k10q23,2,No
2022,k10q23,2,No
2016,k10q30,.d,Suppressed for confidentiality
2017,k10q30,.d,Suppressed for confidentiality
2018,k10q30,.d,Suppressed for confidentiality
2019,k10q30,.d,Suppressed for confidentiality
2020,k10q30,.d,Suppressed for confidentiality
2021,k10q30,.d,Suppressed for confidentiality
2022,k10q30,.d,Suppressed for confidentiality
2016,k10q30,.l,Logical skip
2017,k10q30,.l,Logical skip
2018,k10q30,.l,Logical skip
2019,k10q30,.l,Logical skip
2020,k10q30,.l,Logical skip
2021,k10q30,.l,Logical skip
2022,k10q30,.l,Logical skip
2016,k10q30,.m,No valid response
2017,k10q30,.m,No valid response
2018,k10q30,.m,No valid response
2019,k10q30,.m,No valid response
2020,k10q30,.m,No valid response
2021,k10q30,.m,No valid response
2022,k10q30,.m,No valid response
2016,k10q30,.n,Not in universe
2017,k10q30,.n,Not in universe
2018,k10q30,.n,Not in universe
2019,k10q30,.n,Not in universe
2020,k10q30,.n,Not in universe
2021,k10q30,.n,Not in universe
2022,k10q30,.n,Not in universe
2016,k10q30,1,Definitely agree
2017,k10q30,1,Definitely agree
2018,k10q30,1,Definitely agree
2019,k10q30,1,Definitely agree
2020,k10q30,1,Definitely agree
2021,k10q30,1,Definitely agree
2022,k10q30,1,Definitely agree
2016,k10q30,2,Somewhat agree
2017,k10q30,2,Somewhat agree
2018,k10q30,2,Somewhat agree
2019,k10q30,2,Somewhat agree
2020,k10q30,2,Somewhat agree
2021,k10q30,2,Somewhat agree
2022,k10q30,2,Somewhat agree
2016,k10q30,3,Somewhat disagree
2017,k10q30,3,Somewhat disagree
2018,k10q30,3,Somewhat disagree
2019,k10q30,3,Somewhat disagree
2020,k10q30,3,Somewhat disagree
2021,k10q30,3,Somewhat disagree
2022,k10q30,3,Somewhat disagree
2016,k10q30,4,Definitely disagree
2017,k10q30,4,Definitely disagree
2018,k10q30,4,Definitely disagree
2019,k10q30,4,Definitely disagree
2020,k10q30,4,Definitely disagree
2021,k10q30,4,Definitely disagree
2022,k10q30,4,Definitely disagree
2016,k10q31,.d,Suppressed for confidentiality
2017,k10q31,.d,Suppressed for confidentiality
2018,k10q31,.d,Suppressed for confidentiality
2019,k10q31,.d,Suppressed for confidentiality
2020,k10q31,.d,Suppressed for confidentiality
2021,k10q31,.d,Suppressed for confidentiality
2022,k10q31,.d,Suppressed for confidentiality
2016,k10q31,.l,Logical skip
2017,k10q31,.l,Logical skip
2018,k10q31,.l,Logical skip
2019,k10q31,.l,Logical skip
2020,k10q31,.l,Logical skip
2021,k10q31,.l,Logical skip
2022,k10q31,.l,Logical skip
2016,k10q31,.m,No valid response
2017,k10q31,.m,No valid response
2018,k10q31,.m,No valid response
2019,k10q31,.m,No valid response
2020,k10q31,.m,No valid response
2021,k10q31,.m,No valid response
2022,k10q31,.m,No valid response
2016,k10q31,.n,Not in universe
2017,k10q31,.n,Not in universe
2018,k10q31,.n,Not in universe
2019,k10q31,.n,Not in universe
2020,k10q31,.n,Not in universe
2021,k10q31,.n,Not in universe
2022,k10q31,.n,Not in universe
2016,k10q31,1,Definitely agree
2017,k10q31,1,Definitely agree
2018,k10q31,1,Definitely agree
2019,k10q31,1,Definitely agree
2020,k10q31,1,Definitely agree
2021,k10q31,1,Definitely agree
2022,k10q31,1,Definitely agree
2016,k10q31,2,Somewhat agree
2017,k10q31,2,Somewhat agree
2018,k10q31,2,Somewhat agree
2019,k10q31,2,Somewhat agree
2020,k10q31,2,Somewhat agree
2021,k10q31,2,Somewhat agree
2022,k10q31,2,Somewhat agree
2016,k10q31,3,Somewhat disagree
2017,k10q31,3,Somewhat disagree
2018,k10q31,3,Somewhat disagree
2019,k10q31,3,Somewhat disagree
2020,k10q31,3,Somewhat disagree
2021,k10q31,3,Somewhat disagree
2022,k10q31,3,Somewhat disagree
2016,k10q31,4,Definitely disagree
2017,k10q31,4,Definitely disagree
2018,k10q31,4,Definitely disagree
2019,k10q31,4,Definitely disagree
2020,k10q31,4,Definitely disagree
2021,k10q31,4,Definitely disagree
2022,k10q31,4,Definitely disagree
2016,k10q40_r,.d,Suppressed for confidentiality
2017,k10q40_r,.d,Suppressed for confidentiality
2018,k10q40_r,.d,Suppressed for confidentiality
2019,k10q40_r,.d,Suppressed for confidentiality
2020,k10q40_r,.d,Suppressed for confidentiality
2021,k10q40_r,.d,Suppressed for confidentiality
2022,k10q40_r,.d,Suppressed for confidentiality
2016,k10q40_r,.l,Logical skip
2017,k10q40_r,.l,Logical skip
2018,k10q40_r,.l,Logical skip
2019,k10q40_r,.l,Logical skip
2020,k10q40_r,.l,Logical skip
2021,k10q40_r,.l,Logical skip
2022,k10q40_r,.l,Logical skip
2016,k10q40_r,.m,No valid response
2017,k10q40_r,.m,No valid response
2018,k10q40_r,.m,No valid response
2019,k10q40_r,.m,No valid response
2020,k10q40_r,.m,No valid response
2021,k10q40_r,.m,No valid response
2022,k10q40_r,.m,No valid response
2016,k10q40_r,.n,Not in universe
2017,k10q40_r,.n,Not in universe
2018,k10q40_r,.n,Not in universe
2019,k10q40_r,.n,Not in universe
2020,k10q40_r,.n,Not in universe
2021,k10q40_r,.n,Not in universe
2022,k10q40_r,.n,Not in universe
2016,k10q40_r,1,Definitely agree
2017,k10q40_r,1,Definitely agree
2018,k10q40_r,1,Definitely agree
2019,k10q40_r,1,Definitely agree
2020,k10q40_r,1,Definitely agree
2021,k10q40_r,1,Definitely agree
2022,k10q40_r,1,Definitely agree
2016,k10q40_r,2,Somewhat agree
2017,k10q40_r,2,Somewhat agree
2018,k10q40_r,2,Somewhat agree
2019,k10q40_r,2,Somewhat agree
2020,k10q40_r,2,Somewhat agree
2021,k10q40_r,2,Somewhat agree
2022,k10q40_r,2,Somewhat agree
2016,k10q40_r,3,Somewhat disagree
