variable,desc
askquestion,"Ask Questions: Who, What, When, Where"
askquestion2,"Ask Questions:  Why, How"
tellstory,Tell a Story
understand,Understand 'No'
directions,Follow Verbal Directions
point,Point to Things
directions2,Follow Two Step Directions
understand2,"Understand 'In', 'On', 'Under'"
screentime,"How Much Time Spent with TV, Cellphone, Computer"
birth_yr_f,BIRTH_YR Data Quality Flag
