variable,desc
eyedoctor,Visition Tested by Eye Doctor
famcount,Number of People That Are Family Members
family_r,Family Structure
fasd,Fetal Alcohol Spectrum Disorder (FASD)
fipsst,State FIPS Code
focuson,Focus on a Task
foodsit,Food Situation In Household - Past 12 Months
formtype,Form Type
fpl_i1,"Family Poverty Ratio, First Implicate"
fpl_i2,"Family Poverty Ratio, Second Implicate"
fpl_i3,"Family Poverty Ratio, Third Implicate"
fpl_i4,"Family Poverty Ratio, Fourth Implicate"
fpl_i5,"Family Poverty Ratio, Fifth Implicate"
fpl_i6,"Family Poverty Ratio, Sixth Implicate"
fpl_if,Imputation Flag for FPL
frstformula_day_s,First Fed Formula - Days (Standardized)
frstformula_mo_s,First Fed Formula - Months (Standardized)
frstformula_wk_s,First Fed Formula - Weeks (Standardized)
frstsolids_day_s,First Fed Solids - Days (Standardized)
frstsolids_mo_s,First Fed Solids - Days (Standardized)
frstsolids_wk_s,First Fed Solids - Days (Standardized)
fruit,How Many Fruits
fwc,Selected Child Weight
gainskills,Doctor Worked with Child to Gain Skills to Manage Health
genetic,Genetic Condition
genetic_desc,Genetic Condition Severity Description
genetic_screen,Genetic Condition Newborn Screening
goforhelp,Know Where to Go For Help
grades,Grades Received in School 
groupofobjects,Group of Objects
gumbleed,Difficulty Bleeding Gums Past 12 Months
hands,Difficulty Hands Past 12 Months
hardwork,How Often - Work even when hard 
hcability,Health Affected Ability - How Often
hccovoth,Health Insurance - Other
hcextent,Health Affected Ability - Extent
headache,Headaches
headache_curr,Headaches Currently
headache_desc,Headaches Severity Description
healthknow,How Child Will Be Insured as an Adult
heart,Heart Condition
heart_born,Heart Born
heart_curr,Heart Condition Currently
heart_desc,Heart Condition Severity Description
hemophilia,Blood Disorder Hemophilia
hhcount,Number of People Living at Address
hhcount_if,Imputation Flag for HHCOUNT
hhid,Unique Household ID
hhlanguage,Primary Household Language
higrade,Highest Level of Education among Reported Adults
higrade_tvis,"Highest Level of Education among Reported Adults, Detail"
homeevic,Worried about Being Evicted 
hopeful,Facing Problems - How Often Stay Hopeful
hospitaler,Hospital Emergency Room Visits
hospitalstay,Admitted to Hospital
hoursleep,Past Week - How Many Hours of Sleep Average
hoursleep05,Past Week - How Many Hours of Sleep Average
house_gen,Parental Nativity
howmuch,How Much Medical Health Care - Past 12 Months
hurtsad,How Often - Show Concern
inq_edu,Black-White educational inequity
inq_employ,Black-White employment inequity
inq_home,Black-White homeownership inequity
inq_income,Black-White income inequity
inq_resseg,Black-White Residential Segregation
insgap,Health Insurance Coverage - Past 12 Months
instype,Insurance Type (Revised)
issuecost,Needed Health Care Not Received Due to - Cost
k10q11,Neighborhood - Sidewalks or Walking Paths
k10q12,Neighborhood - Park or Playground
k10q13,Neighborhood - Recreation Center
k10q14,Neighborhood - Library or Bookmobile
k10q20,Neighborhood - Litter or Garbage
k10q22,Neighborhood - Poorly Kept or Rundown Housing
k10q23,Neighborhood - Vandalism
k10q30,People In Neighborhood Help Each Other Out
k10q31,Watch Out for Other's Children
k10q40_r,Child is Safe In Neighborhood
k10q41_r,Child Is Safe at School
k11q03r,Health Insurance - Indian Health Service
k11q43r,How Many Times Moved to New Address
k11q60,Cash Assistance from Government - Past 12 Months
k11q61,Food Stamps - Past 12 Months
k11q62,Free or Reduced Cost Meals - Past 12 Months
k12q01_a,Reason Not Covered - Change in Employer/Employment
k12q01_b,Reason Not Covered - Cancellation Overdue Premiums
k12q01_c,Reason Not Covered - Unaffordable
k12q01_d,Reason Not Covered - Inadequate Benefits
k12q01_e,Reason Not Covered - Inadequate Providers
k12q01_f,Reason Not Covered - Application/Renewal Problems
k12q01_g,Reason Not Covered - Other
k12q03,Health Insurance - Current/Former Employer or Union
k12q04,Health Insurance - Insurance Company
k12q12,Health Insurance - Government Assistance Plan
k2q01,General Health
k2q01_d,Teeth Description
k2q05,Born 3 or More Weeks Before Due Date
k2q30a,Learning Disability
k2q30b,Learning Disability Currently
k2q30c,Learning Disability Severity Description
k2q31a,ADD/ADHD
k2q31b,ADD/ADHD Currently
k2q31c,ADD/ADHD Severity Description
k2q31d,ADD/ADHD - Medication Currently
k2q32a,Depression
k2q32b,Depression Currently
k2q32c,Depression Severity Description
k2q33a,Anxiety
k2q33b,Anxiety Currently
k2q33c,Anxiety Severity Description
k2q34a,Behavior Problems
k2q34b,Behavior Problems Currently
k2q34c,Behavior Problems Severity Description
k2q35a,Autism ASD
k2q35a_1_years,Autism ASD - First Told Age in Years
k2q35b,Autism ASD Currently
k2q35c,Autism ASD Severity Description
k2q35d,Autism ASD - First Told Doctor Type
k2q36a,Developmental Delay
k2q36b,Developmental Delay Currently
k2q36c,Developmental Delay Severity Description
k2q37a,Speech Disorder
k2q37b,Speech Disorder Currently
k2q37c,Speech Disorder Severity Description
k2q38a,Tourette Syndrome
k2q38b,Tourette Syndrome Currently
k2q38c,Tourette Syndrome Severity Description
k2q40a,Asthma
k2q40b,Asthma Currently
k2q40c,Asthma Severity Description
k2q42a,Epilepsy
k2q42b,Epilepsy Currently
k2q42c,Epilepsy Severity Description
k2q43b,Deafness
k2q60a,Intellectual Disability
k2q60b,Intellectual Disability Currently
k2q60c,Intellectual Disability Severity Description
k2q61a,Cerebral Palsy
k3q04_r,Health Insurance Coverage - Past 12 Months (Use INSGAP)
k3q20,Health Insurance - Benefits Cover Services
k3q21b,How Often Costs Reasonable
k3q22,Health Insurance - Allow to See Provider
k3q25,Problems Paying for Medical or Health Care
k4q01,Place Usually Goes Sick
k4q02_r,Place Usually Goes Sick - Where
k4q04_r,Personal Doctor or Nurse - One or More
k4q20r,Preventive Visit - How Many Times
k4q22_r,Mental Health Professional Treatment
k4q23,Emotions Concentration Behavior Medication
k4q24_r,Specialist Visit
k4q26,Specialist Visit - Problem
k4q27,Needed Health Care Not Received
k4q28x01,Needed Health Care Not Received - Medical Care
k4q28x02,Needed Health Care Not Received - Dental Care
k4q28x03,Needed Health Care Not Received - Vision Care
k4q28x04,Needed Health Care Not Received - Mental Health Services
k4q28x05,Needed Health Care Not Received - Other
k4q28x_ear,Needed Health Care Not Received - Hearing Care
k4q30_r_1,Dental Provider Visit - Dentist
k4q30_r_2,Dental Provider Visit - Other
k4q30_r_3,Dental Provider Visit - No
k4q36,Received Special Services
k4q37,Received Special Services - Age in Years
k4q38,Received Special Services - Currently
k5q10,Need a Referral
k5q11,Need a Referral - Problem
k5q20_r,Arrange Or Coordinate Care Among Doctors
k5q21,Arrange Or Coordinate Care Extra Help
k5q22,Arrange Or Coordinate As Much Help As Wanted
k5q30,Communication Satisfaction Among Doctors
k5q31_r,"Provider Communication with School, Child Care, Special Education Program"
k5q32,"Communication Satisfaction with School, Child Care, Special Education Program"
k5q40,How Often - Spend Enough Time
k5q41,How Often - Listen Carefully
k5q42,How Often - Show Sensitivity
k5q43,How Often - Provide Specific Information
k5q44,How Often - Feel Like a Partner
k6q10,"Asked about Learning, Development, Behavior Concerns"
k6q12,Questionnaire - Development Concerns
k6q13a,Questionnaire Covers Talks or Speech Sounds Concerns
k6q13b,Questionnaire Covers Interaction Concerns
k6q14a,Questionnaire Covers Words and Phrases Concerns
k6q14b,Questionnaire Covers Behaves and Gets Along Concerns
k6q15,Special Education Plan
k6q20,Receive Care From Others at Least 10 Hours Per Week
k6q27,Job Change Because Problems with Child Care
k6q40,Ever Breastfed
k6q41r_still,Stopped Breastfeeding - Still Breastfeeding
k6q42r_never,First Fed Formula - Never
k6q43r_never,First Fed Other - Never
k6q60_r,How Many Days Read to Child
k6q61_r,How Many Days Tell Stories or Sing to Child
k6q70_r,Affectionate
k6q71_r,Show Interest and Curiosity
k6q72_r,Smiles Laughs
k6q73_r,Bounces Back
k7q02r_r,Days Child Missed School - Illness or Injury
k7q04r_r,Times School Contacted Household About Problems
k7q30,Sports Team or Sports Lessons - Past 12 Months
k7q31,Clubs or Organizations - Past 12 Months
k7q32,Organized Activities or Lessons - Past 12 Months
k7q33,How Often Attend Events or Activities
k7q37,Community Service or Volunteer Work - Past 12 Months
k7q38,Paid Work or Regular Job - Past 12 Months
k7q70_r,Argues Too Much
k7q82_r,Cares About Doing Well in School
k7q83_r,Does All Required Homework
k7q84_r,Works to Finish Tasks Started
k7q85_r,Stays Calm and In Control When Challenged
k8q11,How Many Days - Family Eat Meal Together
k8q21,Share Ideas or Talk About Things That Matter
k8q30,How Well Handling Demands of Raising Children
k8q31,How Often Have You Felt - Child Hard to Care For
k8q32,How Often Have You Felt - Child Really Bothers You
k8q34,How Often Have You Felt - Angry with Child
k8q35,Someone to Turn To for Emotional Support
k9q40,Anyone in Household Use Cigarettes
k9q41,Anyone Smoke Inside of Home
k9q96,Other Adult Child Can Rely On For Advice
keepinsadult,How to Obtain/Keep Health Insurance as Child Becomes Adult
liveusa_mo,How Long Living in the United States - Months
liveusa_yr,How Long Living in the United States - Years
makefriend,Difficulty Making or Keeping Friends
medhistory,Receive Summary of Medical History
memorycond,"Serious Difficulty Concentrating, Remembering, or Making Decisions"
menbevcov,Health Insurance - Cover Mental Behavioral Needs
metro_yn,Metropolitan Statistical Area Status
missmortgage,Not Able to Pay Mortgage or Rent
momage,Age of Mother - Years
mpc_yn,Metropolitan Principal City Status
nameemotions,Recognize Emotion
notelig,Needed Health Care Not Received Due to - Not Eligible
notopen,Needed Health Care Not Received Due to - Office Not Open
oneword,Say One Word
outdoorswkday,Time Spent Playing Outdoors - Weekday
outdoorswkend,Time Spent Playing Outdoors - Weekend
overweight,Doctor Identified as Overweight
physactiv,"Exercise, Play Sport, or Physical Activity for 60 Minutes"
physicalpain,Difficulty Physical Pain Past 12 Months
placeslived,Number of placed the child has lived 
planneeds_r,Plan Address Transition
playwell,How Often - Play Well with Others
point,Point to Things
poschoice,Doctor Worked with Child to Make Positive Choices
raiseconc,How Often - Easy to Raise Concerns or Disagree
readonedigit,Read One Digit
receivecopy,Have Access to Plan of Care
recevalfasd,Received an Evaluation for FASD
recogabc,Recognize Letters of Alphabet
recogbegin,Recognize Beginning Sound of a Word
repeated,Child Repeated Any Grades
rhymeword_r,Rhyme Words
s4q01,Doctor Visit
s9q34,WIC Benefits - Past 12 Months
samesound,Words with Same Start Sound
screentime,"How Much Time Spent with TV, Cellphone, Computer"
sc_age_lt10,Age of Selected Child - Less than 10 Months
sc_age_lt4,Age of Selected Child - Less than 4 Months
sc_age_lt6,Age of Selected Child - Less than 6 Months
sc_age_lt9,Age of Selected Child - Less than 9 Months
sc_age_years,Age of Selected Child - In Years
sc_aian,American Indian or Alaska Native Alone or in Combination with Other Race
sc_asian,Asian Alone or in Combination with Other Race
sc_cshcn,Special Health Care Needs Status of Selected Child
sc_english,SC  Speaks English
sc_hispanic_r,"Hispanic Origin of Selected Child, Recode"
sc_hispanic_r_if,Imputation Flag for SC_HISPANIC_R
sc_k2q10,SC Needs or Uses Medication Currently
sc_k2q11,SC Medication Used or Needed for Health Condition
sc_k2q12,SC Medication Currently for 12 Months
sc_k2q13,SC Needs or Uses More Medical Care than Others
sc_k2q14,SC Medical Care Used or Needed for Health Condition
sc_k2q15,SC Medical Care Currently for 12 Months
sc_k2q16,SC Limited Ability
sc_k2q17,SC Limited Ability from Health Condition
sc_k2q18,SC Limited Ability from Health Condition for 12 Months
sc_k2q19,SC Special Therapy
sc_k2q20,SC Special Therapy for Health Condition
sc_k2q21,SC Special Therapy for Health Condition for 12 Months
sc_k2q22,SC Needs Treatment for Emotion Develop Behave
sc_k2q23,SC Treatment for Chronic Emotion Develop Behave
sc_nhpi,Native Hawaiian or Other Pacific Islanders Alone or in Combination with Other Race
sc_racer,"Race of Selected Child, Recode"
sc_race_r,"Race of Selected Child, Detailed"
sc_race_r_if,Imputation Flag for SC_RACE_R
sc_sex,Sex of Selected Child
sc_sex_if,Imputation Flag for SC_SEX
seekcare,Concussion/Brain Injury - Seek Care
sescurrsvc,Special Education Plan - Currently
sesplanmo,Special Education Plan - Age in Months (use with SESPLANYR)
sesplanyr,Special Education Plan - Age in Years
sharetoys,Share Toys
sicklecell,Blood Disorder Sickle Cell
simpleaddition,Simple Addition
sleeppos,Position Most Often Lay Your Baby Down to Sleep
spcservmo,Received Special Services - Age in Months (use with K4Q37)
ssi,Receive SSI 
ssidisability,Receive SSI for Disability 
startnewact,How Often - Difficulty End/Starting Activities
startschool,Has Child Started School
stomach,Difficulty Stomach Past 12 Months
stopwork,Past 12 Months - Stopped Working because of Health Status
stratum,Sampling Stratum
strengths,Facing Problems - How Often Draw on Strengths
sugardrink,How Many Surgary Drinks
swallowing,Difficulty Swallowing Past 12 Months
talkabout,Facing Problems - How Often Talk Together
tellstory,Tell a Story
temper_r,How Often - Loses Temper
tenure,The Conditions under Which Land or Buildings Are Held or Occupied
tenure_if,Imputation Flag for TENURE
thalassemia,Blood Disorder Thalassemia
threewords,Use Three Words Together
toothaches,Difficulty Toothaches Past 12 Months
totage_0_5,Count of Children Ages 0 to 5 in Household
totage_12_17,Count of Children Ages 12 to 17 in Household
totage_6_11,Count of Children Ages 6 to 11 in Household
totcshcn,Count of Children with Special Health Care Needs in Household
totfemale,Count of Female Children in Household
totkids_r,Number of Children in Household
totmale,Count of Male Children in Household
totnonshcn,Count of Children without Special Health Care Needs in Household
transportcc,Needed Health Care Not Received Due to - Getting Transportation
treatadult,Talked About Child Seeing Doctors Who Treat Adults
treatchild,Doctors Treat Only Children
treatneed,Mental Health Professional Treatment - Problem
tricare,Health Insurance - TRICARE
twowords,Use Two Words Together
understand,Understand 'No'
understand2,"Understand 'In', 'On', 'Under'"
usualgo,Place Usually Goes for Preventive Care
usualsick,Place Usually Goes for Sick Same As Preventive
vape,Vape/E-Cigarettes inside of Home
vegetables,How Many Vegetables
videophone,COVID - Virtual Health Care Visits
videophonecovid,COVID - Virtual Health Care Visits Due to COVID
visionexamrec,Vision Test Recommended 
visionscreenother,Vision Screening from Other Provider
waitforturn,How Often - Waits for Their Turn
walkstairs,Serious Difficulty Walking or Climbing Stairs
wgtconc,Concerned About Weight
wktosolve,Facing Problems - How Often Work Together
writename,How Often - Write First Name
writeplan,Doctor Worked with You and Child To Create Written Plan
year,Survey Year
height,HEIGHT
weight,WEIGHT
